Abaeté,MG,-19.1551,-45.4444
Abaetetuba,PA,-1.72183,-48.8788
Abreu e Lima,PE,-7.90072,-34.8984
Acaraú,CE,-2.88769,-40.1183
Acopiara,CE,-6.08911,-39.448
Adamantina,SP,-21.682,-51.0737
Afogados da Ingazeira,PE,-7.74312,-37.631
Aguaí,SP,-22.0572,-46.9735
Águas Belas,PE,-9.11125,-37.1226
Águas de Lindóia,SP,-22.4733,-46.6314
Agudos,SP,-22.4694,-48.9863
Aimorés,MG,-19.5007,-41.0746
Alagoinhas,BA,-12.1335,-38.4208
Alegre,ES,-20.758,-41.5382
Alegrete,RS,-29.7902,-55.7949
Além Paraíba,MG,-21.8797,-42.7176
Alenquer,PA,-1.94623,-54.7384
Alfenas,MG,-21.4256,-45.9477
Almenara,MG,-16.1785,-40.6942
Almirante Tamandaré,PR,-25.3188,-49.3037
Altamira,PA,-3.20407,-52.21
Altos,PI,-5.03888,-42.4612
Álvares Machado,SP,-22.0764,-51.4722
Amargosa,BA,-13.0215,-39.602
Americana,SP,-22.7374,-47.3331
Américo Brasiliense,SP,-21.7288,-48.1147
Amparo,PB,-7.55502,-37.0628
Ananindeua,PA,-1.36391,-48.3743
Anápolis,GO,-16.3281,-48.953
Anastácio,MS,-20.4823,-55.8104
Andradas,MG,-22.0695,-46.5724
Andradina,SP,-20.8948,-51.3786
Angra dos Reis,RJ,-23.0011,-44.3196
Aparecida,SP,-22.8495,-45.2325
Aparecida de Goiânia,GO,-16.8198,-49.2469
Apucarana,PR,-23.55,-51.4635
Aquidauana,MS,-20.4666,-55.7868
Aquiraz,CE,-3.89929,-38.3896
Aracaju,SE,-10.9091,-37.0677
Aracati,CE,-4.55826,-37.7679
Araçatuba,SP,-21.2076,-50.4401
Aracruz,ES,-19.82,-40.2764
Araçuaí,MG,-16.8523,-42.0637
Araguaína,TO,-7.19238,-48.2044
Araguari,MG,-18.6456,-48.1934
Arapiraca,AL,-9.75487,-36.6615
Arapongas,PR,-23.4153,-51.4259
Araranguá,SC,-28.9356,-49.4918
Araraquara,SP,-21.7845,-48.178
Araras,SP,-22.3572,-47.3842
Araripina,PE,-7.57073,-40.494
Araruama,RJ,-22.8697,-42.3326
Araucária,PR,-25.5859,-49.4047
Araxá,MG,-19.5902,-46.9438
Arcos,MG,-20.2863,-45.5373
Arcoverde,PE,-8.41519,-37.0577
Aripuanã,MT,-10.1723,-59.4568
Ariquemes,RO,-9.90571,-63.0325
Arraial do Cabo,RJ,-22.9774,-42.0267
Artur Nogueira,SP,-22.5727,-47.1727
Arujá,SP,-23.3965,-46.32
Assis,SP,-22.66,-50.4183
Astorga,PR,-23.2318,-51.6668
Atalaia,AL,-9.5119,-36.0086
Atibaia,SP,-23.1171,-46.5563
Avaré,SP,-23.1067,-48.9251
Bacabal,MA,-4.22447,-44.7832
Bagé,RS,-31.3297,-54.0999
Baixo Guandu,ES,-19.5213,-41.0109
Balneário Camboriú,SC,-26.9926,-48.6352
Balsas,MA,-7.53214,-46.0372
Bambuí,MG,-20.0166,-45.9754
Bandeirantes,MS,-19.9275,-54.3585
Barão de Cocais,MG,-19.9389,-43.4755
Barbacena,MG,-21.2214,-43.7703
